date,season,opponent,home_score,away_score,attendance,status,game_pk
2022-04-14,2022,Atlanta Braves,12,1,44844,Final,662237
2022-04-15,2022,Atlanta Braves,2,5,41993,Final,662236
2022-04-16,2022,Atlanta Braves,2,5,36924,Final,662235
2022-04-17,2022,Atlanta Braves,2,1,37694,Final,662234
2022-04-18,2022,Cincinnati Reds,4,1,31121,Final,662233
2022-04-19,2022,Cincinnati Reds,6,2,31313,Final,662232
2022-04-20,2022,Cincinnati Reds,6,0,25359,Final,662231
2022-04-22,2022,Los Angeles Dodgers,1,6,44482,Final,662230
2022-04-23,2022,Los Angeles Dodgers,3,2,44444,Final,662276
2022-04-24,2022,Los Angeles Dodgers,2,10,44930,Final,662274
2022-05-05,2022,Miami Marlins,2,1,31034,Final,662262
2022-05-06,2022,Miami Marlins,3,2,37585,Final,662272
2022-05-07,2022,Miami Marlins,0,8,34709,Final,662261
2022-05-08,2022,Miami Marlins,3,2,37937,Final,662260
2022-05-09,2022,Chicago Cubs,0,6,41595,Final,662259
2022-05-10,2022,Chicago Cubs,5,4,31047,Final,662258
2022-05-11,2022,Chicago Cubs,5,7,29344,Final,662273
2022-05-23,2022,Milwaukee Brewers,3,2,31504,Final,662257
2022-05-24,2022,Milwaukee Brewers,1,4,39834,Final,662229
2022-05-25,2022,Milwaukee Brewers,1,2,27831,Final,662228
2022-05-27,2022,Pittsburgh Pirates,4,3,41898,Final,662281
2022-05-28,2022,Pittsburgh Pirates,2,4,38189,Final,662280
2022-05-29,2022,Pittsburgh Pirates,4,2,44395,Final,662279
2022-06-06,2022,New York Mets,5,11,34858,Final,662278
2022-06-07,2022,New York Mets,7,0,31796,Final,662277
2022-06-08,2022,New York Mets,13,2,40992,Final,662223
2022-06-10,2022,Colorado Rockies,9,0,35207,Final,662275
2022-06-11,2022,Colorado Rockies,2,1,31415,Final,662251
2022-06-11,2022,Colorado Rockies,2,6,30040,Final,662222
2022-06-12,2022,Colorado Rockies,2,4,41754,Final,662256
2022-06-20,2022,Arizona Diamondbacks,4,1,35430,Final,662221
2022-06-21,2022,Arizona Diamondbacks,3,2,31528,Final,662248
2022-06-22,2022,Arizona Diamondbacks,10,4,31024,Final,662245
2022-06-23,2022,Philadelphia Phillies,2,6,40355,Final,662227
2022-06-24,2022,Philadelphia Phillies,1,0,38890,Final,662255
2022-06-25,2022,Philadelphia Phillies,2,4,37467,Final,662247
2022-06-26,2022,Philadelphia Phillies,5,8,41620,Final,662254
2022-07-04,2022,Seattle Mariners,2,8,37913,Final,662270
2022-07-05,2022,Seattle Mariners,2,6,29745,Final,662226
2022-07-07,2022,San Francisco Giants,2,1,42656,Final,662253
2022-07-08,2022,San Francisco Giants,6,3,42861,Final,662225
2022-07-09,2022,San Francisco Giants,1,3,41714,Final,662266
2022-07-10,2022,San Francisco Giants,0,12,38712,Final,662198
2022-07-15,2022,Arizona Diamondbacks,5,3,41302,Final,662197
2022-07-16,2022,Arizona Diamondbacks,4,3,42384,Final,662271
2022-07-17,2022,Arizona Diamondbacks,1,3,36428,Final,662269
2022-07-29,2022,Minnesota Twins,10,1,43171,Final,662268
2022-07-30,2022,Minnesota Twins,4,7,39574,Final,662196
2022-07-31,2022,Minnesota Twins,3,2,37336,Final,662267
2022-08-01,2022,Colorado Rockies,4,1,29983,Final,662224
2022-08-02,2022,Colorado Rockies,13,5,23828,Final,662250
2022-08-02,2022,Colorado Rockies,3,2,30759,Final,662220
2022-08-03,2022,Colorado Rockies,9,1,44652,Final,662244
2022-08-04,2022,Colorado Rockies,3,7,30366,Final,662219
2022-08-08,2022,San Francisco Giants,0,1,40686,Final,662218
2022-08-09,2022,San Francisco Giants,7,4,38626,Final,662246
2022-08-10,2022,San Francisco Giants,13,7,32834,Final,662217
2022-08-18,2022,Washington Nationals,1,3,41820,Final,662182
2022-08-19,2022,Washington Nationals,3,6,39474,Final,662181
2022-08-20,2022,Washington Nationals,2,1,42529,Final,662180
2022-08-21,2022,Washington Nationals,2,1,37040,Final,662179
2022-08-23,2022,Cleveland Guardians,1,3,38166,Final,662213
2022-08-24,2022,Cleveland Guardians,0,7,30409,Final,662212
2022-09-05,2022,Arizona Diamondbacks,0,5,37713,Final,662211
2022-09-06,2022,Arizona Diamondbacks,6,5,31380,Final,662205
2022-09-07,2022,Arizona Diamondbacks,6,3,36948,Final,662216
2022-09-09,2022,Los Angeles Dodgers,5,4,43286,Final,661850
2022-09-10,2022,Los Angeles Dodgers,4,8,43639,Final,661849
2022-09-11,2022,Los Angeles Dodgers,2,11,41652,Final,661848
2022-09-20,2022,St. Louis Cardinals,5,0,39538,Final,662204
2022-09-21,2022,St. Louis Cardinals,1,0,38643,Final,662203
2022-09-22,2022,St. Louis Cardinals,4,5,33389,Final,662202
2022-09-27,2022,Los Angeles Dodgers,4,3,32127,Final,662210
2022-09-28,2022,Los Angeles Dodgers,0,1,32523,Final,662214
2022-09-29,2022,Los Angeles Dodgers,2,5,35636,Final,662209
2022-09-30,2022,Chicago White Sox,1,3,37490,Final,662208
2022-10-01,2022,Chicago White Sox,5,2,38114,Final,662207
2022-10-02,2022,Chicago White Sox,1,2,41407,Final,662190
2022-10-03,2022,San Francisco Giants,7,4,31687,Final,662239
2022-10-04,2022,San Francisco Giants,6,2,32884,Final,662252
2022-10-05,2022,San Francisco Giants,1,8,32064,Final,662238
2023-03-30,2023,Colorado Rockies,2,7,45103,Final,718778
2023-03-31,2023,Colorado Rockies,1,4,43177,Final,718766
2023-04-01,2023,Colorado Rockies,8,4,42663,Final,718750
2023-04-02,2023,Colorado Rockies,3,1,43972,Final,718733
2023-04-03,2023,Arizona Diamondbacks,5,4,37602,Final,718722
2023-04-04,2023,Arizona Diamondbacks,6,8,34542,Final,718717
2023-04-13,2023,Milwaukee Brewers,3,4,43296,Final,718589
2023-04-14,2023,Milwaukee Brewers,2,11,43822,Final,718574
