date,avg_temp_f,avg_precip_mm
2026-03-26,68.2,0.0
2026-03-27,68.0,0.0
2026-03-28,70.1,0.0
2026-03-30,67.2,0.0
2026-03-31,65.7,0.1
2026-04-01,65.9,0.0
2026-04-09,66.7,0.0
2026-04-10,65.9,0.0
2026-04-11,66.6,0.0
2026-04-12,62.6,0.4
2026-04-14,65.1,0.0
2026-04-15,65.0,0.0
2026-04-16,63.9,0.0
2026-04-27,63.6,0.0
2026-04-28,65.1,0.0
2026-04-29,64.5,0.0
2026-05-01,65.2,0.0
2026-05-02,65.0,0.0
2026-05-03,64.9,0.0
2026-05-07,65.4,0.0
2026-05-08,66.3,0.0
2026-05-09,65.4,0.0
2026-05-10,65.3,0.0
2026-05-18,64.5,0.0
2026-05-19,71.5,0.0
2026-05-20,72.9,0.0
2026-05-22,65.1,0.0
2026-05-23,65.4,0.0
2026-05-24,65.0,0.0
2026-05-25,65.5,0.0
2026-05-26,63.6,0.1
2026-05-27,63.5,0.0
2026-06-05,66.5,0.0
2026-06-06,65.8,0.0
2026-06-07,66.9,0.0
2026-06-08,66.7,0.0
2026-06-09,68.6,0.0
2026-06-10,68.9,0.0
2026-06-22,68.3,0.0
2026-06-23,68.3,0.0
2026-06-24,67.8,0.0
2026-06-26,67.4,0.0
2026-06-27,67.9,0.0
2026-06-28,66.0,0.0
2026-07-06,70.8,0.0
2026-07-07,70.2,0.0
