date,season,opponent,home_score,away_score,attendance,status,game_pk,avg_temp_f,avg_precip_mm,n_promotions,is_promo,is_bobblehead,promotion_names,mets_wins,opp_wins,mets_losses,opp_losses,mets_win_pct,opp_win_pct,mets_streak_code,opp_streak_code,mets_streak_num,opp_streak_num,mets_games_back,opp_games_back,mets_starter_name,mets_starter_era,opp_starter_name,opp_starter_era,starter_era_diff,mets_starter_is_ace,is_national,national_network,is_premium_national,broadcast_tier,game_hour_et,is_day_game,time_bucket,day_of_week,month,dayofweek,is_weekend,mets_starter_id,opp_starter_id,game_date_utc,game_number,is_doubleheader,is_game2,days_out
2026-03-26,2026,Pittsburgh Pirates,11.0,7.0,41449.0,Final,823649,56.7,0.0,1,1,0,2026 Magnet Schedule,1.0,0.0,0.0,1.0,1.0,0.0,W1,L1,1,-1.0,0.0,1.0,Freddy Peralta,,Paul Skenes,,,0.0,1,"NBC/Peacock, NBC/Peacock",0,MLBN only,13.25,1,Early (<5pm),Thursday,3,3,0,,,,,,,
2026-03-28,2026,Pittsburgh Pirates,4.0,2.0,37183.0,Final,823651,40.1,0.0,1,1,0,1986 World Series Championship Replica Ring,2.0,0.0,0.0,2.0,1.0,0.0,W2,L2,2,-2.0,0.0,2.0,David Peterson,,Mitch Keller,,,0.0,0,,0,Non-national,16.166666666666668,1,Early (<5pm),Saturday,3,5,1,,,,,,,
2026-03-29,2026,Pittsburgh Pirates,3.0,4.0,36940.0,Final,823647,45.2,0.0,1,1,0,5-Borough Race Kids Puzzle,2.0,1.0,1.0,2.0,0.667,0.333,L1,W1,-1,1.0,1.0,2.0,Nolan McLean,,Carmen Mlodzinski,,,0.0,0,,0,Non-national,13.666666666666666,1,Early (<5pm),Sunday,3,6,1,,,,,,,
2026-04-07,2026,Arizona Diamondbacks,4.0,3.0,34753.0,Final,823648,44.5,0.0,0,0,0,,7.0,5.0,4.0,6.0,0.636,0.455,W4,L1,4,-1.0,0.0,4.0,Freddy Peralta,4.35,Zac Gallen,3.6,-0.7499999999999996,0.0,0,,0,Non-national,16.166666666666668,1,Early (<5pm),Tuesday,4,1,0,,,,,,,
2026-04-08,2026,Arizona Diamondbacks,2.0,7.0,33422.0,Final,823646,41.7,0.0,0,0,0,,7.0,6.0,5.0,6.0,0.583,0.5,L1,W1,-1,1.0,0.5,3.0,David Peterson,4.66,Ryne Nelson,5.79,1.13,0.0,0,,0,Non-national,16.166666666666668,1,Early (<5pm),Wednesday,4,2,0,,,,,,,
2026-04-09,2026,Arizona Diamondbacks,1.0,7.0,35783.0,Final,823645,44.3,0.0,0,0,0,,7.0,7.0,6.0,6.0,0.538,0.538,L2,W2,-2,2.0,1.0,2.5,Nolan McLean,2.61,Eduardo Rodriguez,0.0,-2.61,1.0,1,"MLB Network, MLB Network",0,MLBN only,19.166666666666668,0,Night (6:30pm+),Thursday,4,3,0,,,,,,,
2026-04-10,2026,Athletics,0.0,4.0,36349.0,Final,823643,51.0,0.0,0,0,0,,7.0,6.0,7.0,7.0,0.5,0.462,L3,W3,-3,3.0,2.0,1.0,Clay Holmes,1.42,J.T. Ginn,,,1.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Friday,4,4,1,,,,,,,
2026-04-11,2026,Athletics,6.0,11.0,38244.0,Final,823644,61.2,0.0,1,1,1,Juan Soto 40/30 Bobblehead,7.0,7.0,8.0,7.0,0.467,0.5,L4,W4,-4,4.0,2.0,0.0,Kodai Senga,3.09,Jacob Lopez,6.48,3.390000000000001,0.0,0,,0,Non-national,16.166666666666668,1,Early (<5pm),Saturday,4,5,1,,,,,,,
2026-04-12,2026,Athletics,0.0,1.0,37316.0,Final,823642,49.1,0.0,0,0,0,,7.0,8.0,9.0,7.0,0.438,0.533,L5,W5,-5,5.0,3.0,0.0,Freddy Peralta,4.8,Aaron Civale,2.7,-2.1,0.0,0,,0,Non-national,13.666666666666666,1,Early (<5pm),Sunday,4,6,1,,,,,,,
2026-04-21,2026,Minnesota Twins,3.0,5.0,32798.0,Final,823640,46.6,0.0,0,0,0,,7.0,12.0,16.0,11.0,0.304,0.522,L12,W1,-12,1.0,8.5,1.0,Nolan McLean,2.28,Simeon Woods Richardson,6.1,3.82,1.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Tuesday,4,1,0,,,,,,,
2026-04-22,2026,Minnesota Twins,3.0,2.0,32665.0,Final,823641,52.3,0.0,0,0,0,,8.0,12.0,16.0,12.0,0.333,0.5,W1,L1,1,-1.0,8.5,1.0,Clay Holmes,1.96,Connor Prielipp,,,1.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Wednesday,4,2,0,,,,,,,
2026-04-23,2026,Minnesota Twins,10.0,8.0,34253.0,Final,823639,71.8,0.0,0,0,0,,9.0,12.0,16.0,13.0,0.36,0.48,W2,L2,2,-2.0,8.5,1.5,Christian Scott,,Joe Ryan,3.29,,0.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Thursday,4,3,0,,,,,,,
2026-04-24,2026,Colorado Rockies,3.0,4.0,36233.0,Final,823638,59.5,0.0,0,0,0,,9.0,11.0,17.0,16.0,0.346,0.407,L1,W1,-1,1.0,9.5,7.0,Freddy Peralta,4.05,Michael Lorenzen,7.84,3.79,0.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Friday,4,4,1,,,,,,,
2026-04-26,2026,Colorado Rockies,1.0,3.0,,Final,823635,54.5,0.0,0,0,0,,9.0,13.0,19.0,16.0,0.321,0.448,L3,W3,-3,3.0,10.5,6.5,Nolan McLean,2.67,Jose Quintana,6.23,3.5600000000000005,1.0,0,,0,Non-national,13.666666666666666,1,Early (<5pm),Sunday,4,6,1,,,,,,,
2026-04-26,2026,Colorado Rockies,0.0,3.0,38155.0,Final,823637,54.5,0.0,0,0,0,,9.0,13.0,19.0,16.0,0.321,0.448,L3,W3,-3,3.0,10.5,6.5,Kodai Senga,8.83,Chase Dollander,,,0.0,0,,0,Non-national,13.75,1,Early (<5pm),Sunday,4,6,1,,,,,,,
2026-04-28,2026,Washington Nationals,8.0,0.0,33622.0,Final,823636,56.1,0.0,0,0,0,,10.0,13.0,19.0,17.0,0.345,0.433,W1,L1,1,-1.0,10.5,8.0,Clay Holmes,2.1,Zack Littell,8.1,6.0,1.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Tuesday,4,1,0,,,,,,,
2026-04-29,2026,Washington Nationals,2.0,14.0,32624.0,Final,823633,52.8,0.0,0,0,0,,10.0,14.0,20.0,17.0,0.333,0.452,L1,W1,-1,1.0,11.5,8.0,David Peterson,6.41,Cade Cavalli,4.01,-2.4000000000000004,0.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Wednesday,4,2,0,,,,,,,
2026-04-30,2026,Washington Nationals,4.0,5.0,34621.0,Final,823634,59.3,0.0,0,0,0,,10.0,15.0,21.0,17.0,0.323,0.469,L2,W2,-2,2.0,11.5,7.0,Freddy Peralta,3.9,Miles Mikolas,12.41,8.51,0.0,0,,0,Non-national,13.166666666666666,1,Early (<5pm),Thursday,4,3,0,,,,,,,
2026-05-12,2026,Detroit Tigers,10.0,2.0,36382.0,Final,823632,60.3,0.0,0,0,0,,16.0,19.0,25.0,23.0,0.39,0.452,W1,L1,1,-1.0,12.5,3.0,Freddy Peralta,3.12,Jack Flaherty,5.56,2.4399999999999995,0.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Tuesday,5,1,0,,,,,,,
2026-05-13,2026,Detroit Tigers,3.0,2.0,33989.0,Final,823631,62.1,0.0,0,0,0,,17.0,19.0,25.0,24.0,0.405,0.442,W2,L2,2,-2.0,12.5,4.0,Christian Scott,3.27,Framber Valdez,4.57,1.3000000000000005,0.0,0,,0,Non-national,19.166666666666668,0,Night (6:30pm+),Wednesday,5,2,0,,,,,,,
2026-05-14,2026,Detroit Tigers,9.0,4.0,34642.0,Final,823630,64.4,0.0,0,0,0,,18.0,19.0,25.0,25.0,0.419,0.432,W3,L3,3,-3.0,11.5,4.5,Nolan McLean,2.78,Keider Montero,3.18,0.4000000000000003,1.0,0,,0,Non-national,13.166666666666666,1,Early (<5pm),Thursday,5,3,0,,,,,,,
2026-05-15,2026,New York Yankees,2.0,5.0,40004.0,Final,823629,66.7,0.0,0,0,0,,18.0,28.0,26.0,17.0,0.409,0.622,L1,W1,-1,1.0,12.5,2.0,Clay Holmes,1.86,Cam Schlittler,1.35,-0.51,1.0,1,"Apple TV, Apple TV",1,Premium national,19.25,0,Night (6:30pm+),Friday,5,4,1,,,,,,,
2026-05-16,2026,New York Yankees,6.0,3.0,41067.0,Final,823627,70.4,0.0,0,0,0,,19.0,28.0,26.0,18.0,0.422,0.609,W1,L1,1,-1.0,11.5,2.0,Huascar Brazobán,9.0,Carlos Rodón,6.23,-2.77,0.0,1,"FOX, FOX",1,Premium national,19.25,0,Night (6:30pm+),Saturday,5,5,1,,,,,,,
2026-05-17,2026,New York Yankees,7.0,6.0,40232.0,Final,823628,77.3,0.0,0,0,0,,20.0,28.0,26.0,19.0,0.435,0.596,W2,L2,2,-2.0,11.5,3.0,Freddy Peralta,3.1,Elmer Rodríguez,5.19,2.0900000000000003,0.0,0,,0,Non-national,13.666666666666666,1,Early (<5pm),Sunday,5,6,1,,,,,,,
