date,season,opponent,home_score,away_score,attendance,status,game_pk,mets_wins,opp_wins,mets_losses,opp_losses,mets_win_pct,opp_win_pct,mets_streak_code,opp_streak_code,mets_streak_num,opp_streak_num,mets_games_back,opp_games_back,mets_starter_name,mets_starter_era,opp_starter_name,opp_starter_era,starter_era_diff,mets_starter_is_ace
2026-03-26,2026,Pittsburgh Pirates,11.0,7.0,41449.0,Final,823649,1,0,0,1,1.0,0.0,W1,L1,1,-1,0.0,1.0,Freddy Peralta,,Paul Skenes,,,0
2026-03-28,2026,Pittsburgh Pirates,4.0,2.0,37183.0,Final,823651,2,0,0,2,1.0,0.0,W2,L2,2,-2,0.0,2.0,David Peterson,,Mitch Keller,,,0
2026-03-29,2026,Pittsburgh Pirates,3.0,4.0,36940.0,Final,823647,2,1,1,2,0.667,0.333,L1,W1,-1,1,1.0,2.0,Nolan McLean,,Carmen Mlodzinski,,,0
2026-04-07,2026,Arizona Diamondbacks,4.0,3.0,34753.0,Final,823648,7,5,4,6,0.636,0.455,W4,L1,4,-1,0.0,4.0,Freddy Peralta,4.35,Zac Gallen,3.6,-0.7499999999999996,0
2026-04-08,2026,Arizona Diamondbacks,2.0,7.0,33422.0,Final,823646,7,6,5,6,0.583,0.5,L1,W1,-1,1,0.5,3.0,David Peterson,4.66,Ryne Nelson,5.79,1.13,0
2026-04-09,2026,Arizona Diamondbacks,1.0,7.0,35783.0,Final,823645,7,7,6,6,0.538,0.538,L2,W2,-2,2,1.0,2.5,Nolan McLean,2.61,Eduardo Rodriguez,0.0,-2.61,1
2026-04-10,2026,Athletics,0.0,4.0,36349.0,Final,823643,7,6,7,7,0.5,0.462,L3,W3,-3,3,2.0,1.0,Clay Holmes,1.42,J.T. Ginn,,,1
2026-04-11,2026,Athletics,6.0,11.0,38244.0,Final,823644,7,7,8,7,0.467,0.5,L4,W4,-4,4,2.0,0.0,Kodai Senga,3.09,Jacob Lopez,6.48,3.3900000000000006,0
2026-04-12,2026,Athletics,0.0,1.0,37316.0,Final,823642,7,8,9,7,0.438,0.533,L5,W5,-5,5,3.0,0.0,Freddy Peralta,4.8,Aaron Civale,2.7,-2.0999999999999996,0
2026-04-21,2026,Minnesota Twins,3.0,5.0,32798.0,Final,823640,7,12,16,11,0.304,0.522,L12,W1,-12,1,8.5,1.0,Nolan McLean,2.28,Simeon Woods Richardson,6.1,3.82,1
