date,season,opponent,home_score,away_score,attendance,status,game_pk
2022-04-15,2022,Arizona Diamondbacks,10.0,3.0,43820,Final,662485
2022-04-16,2022,Arizona Diamondbacks,2.0,3.0,37935,Final,662626
2022-04-17,2022,Arizona Diamondbacks,5.0,0.0,24515,Final,662625
2022-04-18,2022,San Francisco Giants,,,,Postponed,662616
2022-04-19,2022,San Francisco Giants,5.0,4.0,,Final,662350
2022-04-19,2022,San Francisco Giants,3.0,1.0,27490,Final,662616
2022-04-20,2022,San Francisco Giants,2.0,5.0,30050,Final,662349
2022-04-21,2022,San Francisco Giants,6.0,2.0,28760,Final,662593
2022-04-29,2022,Philadelphia Phillies,3.0,0.0,32416,Final,662592
2022-04-30,2022,Philadelphia Phillies,1.0,4.0,40036,Final,662591
2022-05-01,2022,Philadelphia Phillies,10.0,6.0,30608,Final,662579
2022-05-02,2022,Atlanta Braves,2.0,5.0,23413,Final,662578
2022-05-03,2022,Atlanta Braves,5.0,4.0,,Final,662569
2022-05-03,2022,Atlanta Braves,3.0,0.0,27206,Final,662459
2022-05-04,2022,Atlanta Braves,2.0,9.0,23973,Final,662577
2022-05-13,2022,Seattle Mariners,1.0,2.0,36629,Final,662523
2022-05-14,2022,Seattle Mariners,5.0,4.0,37140,Final,662568
2022-05-15,2022,Seattle Mariners,7.0,8.0,38476,Final,662567
2022-05-16,2022,St. Louis Cardinals,,,,Postponed,662566
2022-05-17,2022,St. Louis Cardinals,3.0,1.0,,Final,662507
2022-05-17,2022,St. Louis Cardinals,3.0,4.0,27457,Final,662566
2022-05-18,2022,St. Louis Cardinals,11.0,4.0,32798,Final,662554
2022-05-19,2022,St. Louis Cardinals,7.0,6.0,28801,Final,662520
2022-05-27,2022,Philadelphia Phillies,8.0,6.0,30175,Final,662543
2022-05-28,2022,Philadelphia Phillies,8.0,2.0,37455,Final,662556
2022-05-29,2022,Philadelphia Phillies,5.0,4.0,36513,Final,662555
2022-05-30,2022,Washington Nationals,13.0,5.0,22007,Final,662545
2022-05-31,2022,Washington Nationals,10.0,0.0,25263,Final,662544
2022-06-01,2022,Washington Nationals,5.0,0.0,25417,Final,662457
2022-06-14,2022,Milwaukee Brewers,4.0,0.0,28495,Final,662441
