date,season,opponent,home_score,away_score,attendance,status,game_pk,avg_temp_f,avg_precip_mm,n_promotions,is_promo,is_bobblehead,promotion_names,mets_wins,opp_wins,mets_losses,opp_losses,mets_win_pct,opp_win_pct,mets_streak_code,opp_streak_code,mets_streak_num,opp_streak_num,mets_games_back,opp_games_back,mets_starter_name,mets_starter_era,opp_starter_name,opp_starter_era,starter_era_diff,mets_starter_is_ace
2022-04-15,2022,Arizona Diamondbacks,10.0,3.0,43820.0,Final,662485,56.5,0.0,1,1,0,Jackie Robinson Brooklyn Dodgers Name and Number T-Shirt,6,2.0,2,5.0,0.75,0.286,W3,L1,3,-1.0,0.0,3.0,Chris Bassitt,0.0,Zach Davies,3.6,3.6,1
2022-04-16,2022,Arizona Diamondbacks,2.0,3.0,37935.0,Final,662626,56.7,0.0,1,1,0,Tom Seaver Replica Statue,6,3.0,3,5.0,0.667,0.375,L1,W1,-1,1.0,0.0,3.0,Carlos Carrasco,1.59,Zac Gallen,,,1
2022-04-17,2022,Arizona Diamondbacks,5.0,0.0,24515.0,Final,662625,48.1,0.0,0,0,0,,7,3.0,3,6.0,0.7,0.333,W1,L1,1,-1.0,0.0,4.0,David Peterson,,Humberto Castellanos,,,0
2022-04-19,2022,San Francisco Giants,3.0,1.0,27490.0,Final,662616,49.6,0.0,0,0,0,,9,7.0,3,4.0,0.75,0.636,W3,L2,3,-2.0,0.0,1.0,Max Scherzer,3.27,Logan Webb,1.29,-1.98,0
2022-04-19,2022,San Francisco Giants,5.0,4.0,,Final,662350,49.6,0.0,0,0,0,,9,7.0,3,4.0,0.75,0.636,W3,L2,3,-2.0,0.0,1.0,Tylor Megill,0.0,Alex Cobb,3.6,3.6,1
2022-04-20,2022,San Francisco Giants,2.0,5.0,30050.0,Final,662349,53.7,0.0,0,0,0,,9,8.0,4,4.0,0.692,0.667,L1,W1,-1,1.0,0.0,1.0,Chris Bassitt,0.75,Carlos Rodón,1.5,0.75,1
2022-04-21,2022,San Francisco Giants,6.0,2.0,28760.0,Final,662593,50.7,0.4,0,0,0,,10,8.0,4,5.0,0.714,0.615,W1,L1,1,-1.0,0.0,1.5,Carlos Carrasco,0.84,Anthony DeSclafani,4.32,3.4800000000000004,1
2022-04-29,2022,Philadelphia Phillies,3.0,0.0,32416.0,Final,662592,57.0,0.0,0,0,0,,15,10.0,6,11.0,0.714,0.476,W1,L1,1,-1.0,0.0,5.0,Tylor Megill,2.35,Aaron Nola,3.74,1.3900000000000001,1
2022-04-30,2022,Philadelphia Phillies,1.0,4.0,40036.0,Final,662591,59.7,0.0,1,1,1,Francisco Lindor Bobble Gnome,15,11.0,7,11.0,0.682,0.5,L1,W1,-1,1.0,0.0,4.0,Taijuan Walker,0.0,Kyle Gibson,3.47,3.47,1
2022-05-01,2022,Philadelphia Phillies,10.0,6.0,30608.0,Final,662579,56.1,0.0,0,0,0,,16,11.0,7,12.0,0.696,0.478,W1,L1,1,-1.0,0.0,5.0,Max Scherzer,1.8,Zach Eflin,3.2,1.4000000000000001,1
2022-05-02,2022,Atlanta Braves,2.0,5.0,23413.0,Final,662578,55.0,0.0,0,0,0,,16,11.0,8,13.0,0.667,0.458,L1,W1,-1,1.0,0.0,5.0,Chris Bassitt,2.25,Max Fried,3.0,0.75,1
2022-05-03,2022,Atlanta Braves,3.0,0.0,27206.0,Final,662459,55.9,0.0,0,0,0,,18,11.0,8,15.0,0.692,0.423,W2,L2,2,-2.0,0.0,7.0,Carlos Carrasco,4.5,Kyle Wright,1.12,-3.38,0
