date,avg_temp_f,avg_precip_mm
2022-04-15,56.5,0.0
2022-04-16,56.7,0.0
2022-04-17,48.1,0.0
2022-04-18,45.5,0.1
2022-04-19,49.6,0.0
2022-04-20,53.7,0.0
2022-04-21,50.7,0.4
2022-04-29,57.0,0.0
2022-04-30,59.7,0.0
2022-05-01,56.1,0.0
2022-05-02,55.0,0.0
2022-05-03,55.9,0.0
2022-05-04,66.1,0.0
2022-05-13,63.9,0.1
2022-05-14,62.9,0.5
2022-05-15,62.9,0.0
2022-05-16,66.1,1.0
2022-05-17,71.0,0.0
2022-05-18,63.6,0.0
2022-05-19,65.5,0.0
2022-05-27,65.5,1.5
2022-05-28,71.9,0.1
2022-05-29,69.9,0.0
2022-05-30,74.2,0.0
2022-05-31,84.0,0.0
2022-06-01,64.4,0.0
2022-06-14,77.4,0.0
2022-06-15,71.0,0.0
2022-06-16,69.7,0.0
2022-06-17,84.7,0.0
2022-06-18,65.9,0.0
2022-06-19,71.3,0.0
2022-06-20,77.9,0.0
2022-06-28,75.1,0.0
2022-06-29,76.2,0.0
2022-07-01,82.1,0.0
2022-07-02,76.2,2.8
2022-07-03,81.9,0.0
2022-07-07,75.9,0.0
2022-07-08,77.4,0.0
2022-07-09,78.0,0.0
2022-07-10,75.8,0.0
2022-07-22,85.4,0.0
2022-07-23,86.5,0.0
2022-07-24,88.7,0.0
2022-07-26,79.2,0.0
2022-07-27,79.5,0.0
2022-08-04,83.7,0.0
2022-08-05,84.9,0.0
2022-08-06,82.6,0.0
2022-08-07,84.0,0.2
2022-08-08,83.2,0.0
2022-08-09,86.7,0.6
2022-08-10,81.7,0.0
2022-08-12,81.3,0.0
2022-08-13,78.2,0.0
2022-08-14,75.8,0.0
2022-08-25,81.7,0.0
2022-08-26,79.4,0.0
2022-08-27,81.2,0.0
2022-08-28,76.6,0.1
2022-08-30,79.1,0.0
2022-08-31,80.8,0.0
2022-09-01,81.6,0.0
2022-09-02,73.5,0.0
2022-09-03,74.3,0.0
2022-09-04,79.6,0.0
2022-09-12,78.8,0.0
2022-09-13,74.7,0.1
2022-09-14,75.2,0.0
2022-09-15,68.2,0.0
2022-09-16,70.5,0.0
2022-09-17,68.8,0.0
2022-09-18,77.9,0.0
2022-09-27,66.4,0.0
2022-09-28,66.4,0.0
2022-10-03,50.9,1.0
2022-10-04,55.9,2.6
2022-10-05,60.0,0.0
2023-04-06,64.0,0.1
2023-04-07,51.4,0.0
2023-04-08,46.2,0.0
2023-04-09,45.7,0.0
2023-04-10,52.5,0.0
2023-04-11,69.0,0.0
2023-04-12,77.0,0.0
2023-04-25,55.1,0.0
2023-04-26,52.9,0.0
2023-04-27,53.5,0.0
2023-04-28,51.0,0.1
2023-04-29,53.3,0.5
2023-04-30,58.4,2.1
2023-05-01,56.6,0.0
2023-05-05,55.2,0.9
2023-05-06,65.2,0.0
2023-05-07,63.9,0.0
2023-05-16,75.0,0.0
2023-05-17,60.0,0.0
2023-05-18,54.9,0.0
2023-05-19,60.5,0.0
2023-05-20,61.8,2.0
2023-05-21,67.6,0.0
2023-05-30,63.4,0.0
2023-05-31,67.0,0.0
2023-06-01,71.8,0.0
2023-06-02,74.5,0.0
2023-06-03,64.7,0.0
2023-06-04,64.9,0.0
2023-06-13,77.3,0.0
2023-06-14,64.2,0.5
2023-06-16,66.9,2.6
2023-06-17,73.7,0.0
2023-06-18,76.4,0.0
2023-06-26,74.3,0.1
2023-06-27,73.4,0.0
2023-06-28,74.6,0.7
2023-06-29,75.9,0.0
2023-06-30,75.1,0.0
2023-07-01,74.1,0.0
2023-07-02,77.1,0.8
2023-07-14,77.0,0.1
2023-07-15,79.3,0.3
2023-07-16,76.2,0.8
2023-07-18,78.2,0.1
2023-07-19,76.8,0.0
2023-07-20,78.1,0.0
2023-07-27,86.1,0.0
2023-07-28,84.7,0.0
2023-07-29,86.9,0.6
2023-07-30,75.8,0.0
2023-08-07,77.6,2.8
2023-08-08,76.5,0.0
2023-08-09,81.6,0.0
2023-08-11,80.3,0.0
2023-08-12,76.5,0.5
2023-08-13,83.5,0.0
2023-08-14,79.0,0.0
2023-08-15,78.1,0.0
2023-08-16,76.0,0.2
2023-08-25,75.5,0.0
2023-08-26,79.0,0.0
2023-08-27,78.1,0.0
2023-08-28,71.8,0.0
2023-08-29,76.0,0.0
2023-08-30,80.4,0.0
2023-09-01,69.6,0.0
2023-09-02,71.0,0.0
2023-09-03,82.4,0.0
2023-09-11,75.3,0.3
2023-09-12,77.6,0.0
2023-09-13,74.9,0.1
2023-09-14,72.0,0.0
2023-09-15,67.6,0.0
2023-09-16,71.6,0.0
2023-09-17,68.4,0.0
2023-09-26,61.5,0.0
2023-09-27,61.2,0.0
