date,avg_temp_f,avg_precip_mm
2026-03-26,56.7,0.0
2026-03-28,40.1,0.0
2026-03-29,45.2,0.0
2026-04-07,44.5,0.0
2026-04-08,41.7,0.0
2026-04-09,44.3,0.0
2026-04-10,51.0,0.0
2026-04-11,61.2,0.0
2026-04-12,49.1,0.0
2026-04-21,46.6,0.0
2026-04-22,52.3,0.0
2026-04-23,71.8,0.0
2026-04-24,59.5,0.0
2026-04-26,54.5,0.0
2026-04-28,56.1,0.0
2026-04-29,52.8,0.0
2026-04-30,59.3,0.0
2026-05-12,60.3,0.0
2026-05-13,62.1,0.0
2026-05-14,64.4,0.0
2026-05-15,66.7,0.0
2026-05-16,70.4,0.0
2026-05-17,77.3,0.0
2026-05-25,70.7,0.0
2026-05-26,72.0,0.0
2026-05-27,78.6,0.0
2026-05-29,69.8,0.0
2026-05-30,59.3,0.0
2026-05-31,71.3,0.0
2026-06-09,71.3,0.0
2026-06-10,77.5,0.1
2026-06-11,86.2,0.9
2026-06-12,85.0,0.7
2026-06-13,82.9,0.0
2026-06-14,79.5,0.0
2026-06-23,68.4,0.4
2026-06-24,79.4,0.0
2026-06-25,77.1,0.0
2026-06-26,77.3,0.2
2026-06-27,71.9,1.0
2026-06-28,76.1,0.0
2026-07-07,71.0,0.0
2026-07-08,77.0,0.0
2026-07-09,76.5,0.4
2026-07-10,82.4,0.1
2026-07-11,81.0,0.0
2026-07-12,80.8,0.0
