date,avg_temp_f,avg_precip_mm
2022-04-14,61.3,0.0
2022-04-15,62.6,0.0
2022-04-16,62.8,0.0
2022-04-17,62.5,0.0
2022-04-18,63.6,0.0
2022-04-19,63.2,0.0
2022-04-20,62.6,0.0
2022-04-22,60.1,0.0
2022-04-23,64.3,0.0
2022-04-24,73.2,0.0
2022-05-05,65.9,0.0
2022-05-06,64.3,0.0
2022-05-07,64.1,0.0
2022-05-08,61.3,0.0
2022-05-09,61.5,0.0
2022-05-10,63.1,0.0
2022-05-11,62.2,0.0
2022-05-23,61.8,0.0
2022-05-24,63.5,0.0
2022-05-25,64.9,0.0
2022-05-27,65.3,0.0
2022-05-28,63.0,0.0
2022-05-29,64.3,0.0
2022-06-06,68.2,0.0
2022-06-07,66.0,0.0
2022-06-08,66.9,0.0
2022-06-10,68.6,0.0
2022-06-11,68.2,0.0
2022-06-12,66.4,0.0
2022-06-20,73.1,0.0
2022-06-21,69.7,0.0
2022-06-22,75.8,0.0
2022-06-23,74.5,0.0
2022-06-24,72.8,0.0
2022-06-25,72.5,0.0
2022-06-26,70.4,0.0
2022-07-04,68.3,0.0
2022-07-05,70.7,0.0
2022-07-07,70.2,0.0
2022-07-08,70.2,0.0
2022-07-09,71.6,0.0
2022-07-10,71.1,0.0
2022-07-15,69.5,0.0
2022-07-16,70.3,0.0
2022-07-17,70.7,0.0
2022-07-29,70.4,0.0
2022-07-30,72.9,0.0
2022-07-31,72.1,1.3
2022-08-01,73.5,0.0
2022-08-02,74.2,0.0
2022-08-03,73.1,0.0
2022-08-04,72.8,0.0
2022-08-08,75.3,0.0
2022-08-09,76.8,0.0
2022-08-10,77.5,0.0
2022-08-18,73.3,0.0
2022-08-19,72.0,0.0
2022-08-20,72.0,0.0
2022-08-21,72.3,0.0
2022-08-23,72.4,0.0
2022-08-24,72.8,0.0
2022-09-05,77.7,0.0
2022-09-06,79.0,0.0
2022-09-07,81.3,0.0
2022-09-09,75.3,2.1
2022-09-10,75.4,0.1
2022-09-11,75.0,0.0
2022-09-20,72.7,0.0
2022-09-21,72.8,0.0
2022-09-22,73.4,0.0
2022-09-27,75.6,0.0
2022-09-28,72.5,0.0
2022-09-29,70.8,0.0
2022-09-30,68.7,0.0
2022-10-01,68.4,0.0
2022-10-02,70.3,0.0
2022-10-03,70.3,0.0
2022-10-04,70.5,0.0
2022-10-05,69.5,0.0
2023-03-30,55.0,0.1
2023-03-31,56.5,0.0
2023-04-01,58.2,0.0
2023-04-02,58.0,0.0
2023-04-03,54.7,0.0
2023-04-04,53.9,0.0
2023-04-13,54.5,0.0
2023-04-14,57.4,0.0
2023-04-15,58.6,0.0
2023-04-16,57.5,0.0
2023-04-17,57.6,0.0
2023-04-18,58.3,0.0
2023-04-19,59.7,0.0
2023-05-01,59.1,0.0
2023-05-02,59.4,0.0
2023-05-03,60.3,0.0
2023-05-05,61.7,0.0
2023-05-06,61.7,0.0
2023-05-07,62.8,0.0
2023-05-15,63.3,0.0
2023-05-16,64.0,0.0
2023-05-17,62.7,0.0
2023-05-19,63.6,0.0
2023-05-20,64.1,0.0
2023-05-21,63.8,0.0
2023-06-02,64.4,0.0
2023-06-03,64.2,0.0
2023-06-04,64.0,0.0
2023-06-05,62.8,0.0
2023-06-06,63.6,0.0
2023-06-07,64.8,0.0
2023-06-13,64.6,0.0
2023-06-14,64.8,0.0
2023-06-15,65.4,0.0
2023-06-16,67.3,0.0
2023-06-17,67.8,0.0
2023-06-18,65.6,0.0
2023-06-23,65.8,0.0
2023-06-24,65.9,0.0
2023-06-25,66.4,0.0
2023-07-03,68.5,0.0
2023-07-04,68.7,0.0
2023-07-05,67.2,0.0
2023-07-07,66.7,0.0
2023-07-08,66.2,0.0
2023-07-09,68.5,0.0
2023-07-24,73.1,0.0
2023-07-25,74.5,0.0
2023-07-26,76.0,0.0
2023-07-28,72.0,0.0
2023-07-29,72.7,0.0
2023-07-30,75.2,0.0
2023-08-04,71.9,0.0
2023-08-05,72.2,0.0
2023-08-06,71.4,0.0
2023-08-07,73.3,0.0
2023-08-14,72.5,0.0
2023-08-15,74.1,0.0
2023-08-16,75.2,0.0
2023-08-17,73.3,0.0
2023-08-18,72.8,0.0
2023-08-19,72.4,0.0
2023-08-21,68.9,0.0
2023-08-22,71.4,0.0
2023-08-23,70.5,0.0
2023-08-31,71.8,0.0
2023-09-01,70.0,0.3
2023-09-02,73.4,0.0
2023-09-03,70.8,0.0
2023-09-04,69.6,0.0
2023-09-05,69.5,0.0
2023-09-06,71.0,0.0
2023-09-18,69.2,0.0
2023-09-19,69.9,0.0
2023-09-20,69.2,0.0
2023-09-22,68.7,0.0
2023-09-23,69.2,0.0
2023-09-24,69.7,0.0
2024-03-28,60.2,0.0
2024-03-29,58.2,0.0
2024-03-31,55.3,0.2
2024-04-01,58.8,0.0
2024-04-02,62.0,0.0
2024-04-03,60.6,0.0
2024-04-08,59.9,0.0
2024-04-09,66.4,0.0
2024-04-10,66.1,0.0
2024-04-19,61.9,0.0
2024-04-20,62.6,0.0
2024-04-21,63.0,0.0
2024-04-26,61.3,0.0
2024-04-27,62.6,0.0
2024-04-28,63.5,0.0
2024-04-29,64.3,0.0
2024-04-30,63.0,0.0
2024-05-01,63.1,0.0
2024-05-10,63.4,0.0
2024-05-11,62.9,0.0
2024-05-12,64.6,0.0
2024-05-13,63.1,0.0
2024-05-14,62.3,0.0
2024-05-15,62.7,0.0
2024-05-24,63.3,0.0
2024-05-25,61.8,0.0
2024-05-26,63.5,0.0
2024-05-27,62.9,0.0
2024-05-28,63.8,0.0
2024-05-29,63.7,0.0
2024-06-06,66.7,0.0
2024-06-07,65.6,0.0
2024-06-08,66.0,0.0
2024-06-09,65.2,0.0
2024-06-10,66.2,0.0
2024-06-11,65.8,0.0
2024-06-12,68.1,0.0
2024-06-20,68.5,0.0
2024-06-21,69.5,0.0
2024-06-22,73.2,0.0
2024-06-23,73.6,0.0
2024-06-24,72.4,0.0
2024-06-25,70.7,0.0
2024-06-26,69.4,0.0
2024-07-05,71.6,0.0
2024-07-06,71.5,0.0
2024-07-07,71.0,0.0
2024-07-09,71.7,0.0
2024-07-10,71.2,0.0
2024-07-12,71.4,0.0
2024-07-13,71.5,0.0
2024-07-14,71.6,0.0
2024-07-30,71.2,0.0
2024-07-31,72.1,0.0
2024-08-02,76.4,0.0
2024-08-03,74.5,0.0
2024-08-04,74.3,0.0
2024-08-12,75.1,0.0
2024-08-13,73.7,0.0
2024-08-14,73.9,0.0
2024-08-19,76.1,0.0
2024-08-20,78.1,0.0
2024-08-21,73.7,0.0
2024-08-22,72.4,0.0
2024-08-23,71.1,0.0
2024-08-24,70.5,0.0
2024-08-25,73.8,0.0
2024-09-02,71.5,0.0
2024-09-04,77.8,0.0
2024-09-05,83.4,0.0
2024-09-06,77.3,0.0
2024-09-07,84.0,0.0
2024-09-08,86.9,0.0
2024-09-16,67.9,0.0
2024-09-17,68.5,0.0
2024-09-18,68.2,0.0
2024-09-20,68.3,0.0
2024-09-21,68.3,0.0
2024-09-22,69.4,0.0
2025-03-27,61.2,0.0
2025-03-28,60.0,0.0
2025-03-29,60.3,0.0
2025-03-30,61.7,0.0
2025-03-31,59.8,0.1
2025-04-01,57.2,0.1
2025-04-02,57.3,0.0
2025-04-11,65.7,0.0
2025-04-12,61.3,0.0
2025-04-13,61.0,0.0
2025-04-14,60.0,0.0
2025-04-15,59.9,0.0
2025-04-16,61.6,0.0
2025-04-25,60.1,0.0
2025-04-26,59.2,0.1
2025-04-27,60.6,0.0
2025-04-29,62.4,0.0
2025-04-30,61.6,0.0
2025-05-12,63.6,0.0
2025-05-13,62.5,0.0
2025-05-14,64.6,0.0
2025-05-16,62.4,0.0
2025-05-17,60.3,0.2
2025-05-18,62.9,0.0
2025-05-26,65.4,0.0
2025-05-27,63.7,0.0
2025-05-28,63.2,0.0
2025-05-30,67.0,0.0
2025-05-31,72.0,0.0
2025-06-01,68.5,0.0
2025-06-09,66.0,0.0
2025-06-10,66.8,0.0
2025-06-11,66.5,0.0
2025-06-20,67.8,0.0
2025-06-21,66.6,0.0
2025-06-22,68.0,0.0
2025-06-23,64.2,0.0
2025-06-24,67.6,0.0
2025-06-25,67.0,0.0
2025-07-04,70.6,0.0
2025-07-05,70.7,0.0
2025-07-06,69.6,0.0
2025-07-07,69.8,0.0
2025-07-08,72.2,0.0
2025-07-09,73.0,0.0
2025-07-10,72.0,0.0
2025-07-11,68.0,0.0
2025-07-12,68.9,0.0
2025-07-13,69.9,0.0
2025-07-28,69.4,0.0
2025-07-29,69.9,0.0
2025-07-30,70.4,0.0
2025-08-01,69.1,0.0
2025-08-02,70.6,0.0
2025-08-03,71.8,0.0
2025-08-08,71.7,0.0
2025-08-09,71.2,0.0
2025-08-10,72.4,0.0
2025-08-18,70.4,0.0
2025-08-19,73.2,0.0
2025-08-20,75.1,0.0
2025-08-21,75.9,0.0
2025-08-22,75.5,0.0
2025-08-23,77.2,0.0
2025-08-24,75.2,0.0
2025-09-01,78.2,0.0
2025-09-02,75.4,0.0
2025-09-03,76.5,0.0
2025-09-08,72.9,0.0
2025-09-09,71.9,0.0
2025-09-10,71.0,0.0
2025-09-11,70.4,0.0
2025-09-12,69.5,0.0
2025-09-13,69.9,0.0
2025-09-14,69.8,0.0
2025-09-22,72.2,0.0
2025-09-23,71.9,0.0
2025-09-24,72.7,0.0
2025-09-26,68.5,0.0
2025-09-27,70.1,0.0
2025-09-28,71.3,0.0
